"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,,,,,,,,,,,,,,,";"buzzardLabel";27;"";;;
2;"REF**,REF**";"Symbol-Front-I2C-ADDR-Field";2;"Symbol-Front-I2C-ADDR-Field";;;
3;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
4;"G***";"Logo-Front-Soldered-5mm";1;"LOGO";;;
5;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
6;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
7;"R6,R4,R8,R2,R1,R7,R5,R3";"0603R";8;"10k";;;
8;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
9;"C6,C7";"0603C";2;"2u2";;;
10;"K2,K4";"easyC-connector";2;"easyC-SMD";;;
11;"JP6";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
12;"C3";"1206C";1;"10u";;;
13;"C5,C2,C1";"0603C";3;"100nF";;;
14;"K3";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
15;"JP4,JP1,JP2,JP3";"SMD_JUMPER_3_PAD_TRACE";4;"SMD_JUMPER_3_PAD_TRACE";;;
16;"U1";"SOT-363";1;"NMOS-DUAL";;;
17;"K1";"HEADER_MALE_9X1";1;"HEADER_MALE_9X1";;;
18;"G***";"Symbol-Front-Axis";1;"LOGO";;;
19;"G***";"Symbol-Front-Magnetic-Field";1;"LOGO";;;
20;"C4";"0603C";1;"10nF";;;
21;"U3";"SOT-23-5";1;"SE5218";;;
22;"U2";"LSM9DS1TR";1;"LSM9DS1TR";;;
23;"H1,H2";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
24;"JP5";"SMD_JUMPER";1;"SMD_JUMPER";;;
25;"Ref**";"Version1.0.0.";1;"Val**";;;
